,playerId,competitionId,seasonId
0,25413,364,185727
1,25867,364,185727
2,247671,364,185727
4,346158,364,185727
5,3360,364,185727
7,26010,364,185727
8,38093,364,185727
9,105333,364,185727
11,343951,364,185727
12,391530,364,185727
14,450826,364,185727
16,5295,364,185727
17,134513,364,185727
18,282263,364,185727
19,397178,364,185727
20,527100,364,185727
21,7868,364,185727
22,15808,364,185727
23,25747,364,185727
25,49872,364,185727
26,120353,364,185727
28,134708,364,185727
30,137669,364,185727
33,470819,364,185727
34,7970,364,185727
35,9227,364,185727
36,12536,364,185727
37,70215,364,185727
39,94764,364,185727
41,213312,364,185727
43,276211,364,185727
44,298980,364,185727
45,3837,364,185727
46,3875,364,185727
48,8525,364,185727
49,11051,364,185727
51,132855,364,185727
52,220112,364,185727
55,286553,364,185727
58,382238,364,185727
59,416165,364,185727
60,8116,364,185727
62,8144,364,185727
63,8384,364,185727
64,8955,364,185727
65,62106,364,185727
66,215983,364,185727
68,355939,364,185727
69,447538,364,185727
71,514375,364,185727
73,7879,364,185727
74,26196,364,185727
75,32636,364,185727
76,41250,364,185727
78,145692,364,185727
79,230020,364,185727
81,293687,364,185727
82,377071,364,185727
84,410031,364,185727
85,8717,364,185727
86,13484,364,185727
87,14911,364,185727
89,20441,364,185727
91,40765,364,185727
92,285746,364,185727
94,345744,364,185727
95,356237,364,185727
96,8325,364,185727
97,11066,364,185727
99,26150,364,185727
101,265673,364,185727
103,286830,364,185727
104,340386,364,185727
106,447205,364,185727
107,14879,364,185727
108,15942,364,185727
109,50023,364,185727
110,326547,364,185727
111,448644,364,185727
112,8422,364,185727
115,8471,364,185727
116,8501,364,185727
118,8540,364,185727
119,25571,364,185727
122,38031,364,185727
123,134369,364,185727
126,112392,364,185727
127,225947,364,185727
129,248276,364,185727
132,345621,364,185727
135,448645,364,185727
136,496823,364,185727
138,8013,364,185727
139,12829,364,185727
140,230883,364,185727
142,283142,364,185727
144,284302,364,185727
145,285508,364,185727
146,448708,364,185727
148,8469,364,185727
149,8677,364,185727
151,25512,364,185727
152,40806,364,185727
153,41174,364,185727
154,105622,364,185727
155,236536,364,185727
156,299699,364,185727
157,399676,364,185727
159,8088,364,185727
160,8152,364,185727
161,8852,364,185727
162,11052,364,185727
163,245813,364,185727
164,288865,364,185727
165,3348,364,185727
167,7945,364,185727
168,8903,364,185727
169,8981,364,185727
170,10663,364,185727
171,20593,364,185727
173,266540,364,185727
175,285509,364,185727
177,448079,364,185727
179,93,364,185727
180,8284,364,185727
181,8958,364,185727
182,8980,364,185727
183,9123,364,185727
184,9206,364,185727
185,9623,364,185727
187,10108,364,185727
188,37840,364,185727
189,532949,364,185727
190,8416,364,185727
191,15526,364,185727
192,62389,364,185727
193,79381,364,185727
195,134717,364,185727
196,229076,364,185727
197,447951,364,185727
198,481911,364,185727
200,8959,364,185727
202,9637,364,185727
204,11669,364,185727
205,62224,364,185727
207,282267,364,185727
208,286831,364,185727
209,302518,364,185727
210,397060,364,185727
212,399709,364,185727
